Title,Content ID,Poster,Backdrop,Overview,Trailer,Type,Genres,Runtime (minutes),Number of Episodes,Rating,Release Year,Provider Name,Provider Logo,Origin Country,Primary Genres,Secondary Genres,Total Runtime (minutes),Latitude,Longitude
Rush Hour,65367,/7vDMkZnP3pHruaqwiVfGi29lJOe.jpg,/5p1dVVOY3YlVdgxSAPKxbZKTXqB.jpg,"The series follows Detective Carter, a radical LAPD detective, and Detective Lee, a by-the-book detective from Hong Kong, as they are forced into forming an unlikely partnership",N/A,tv,"Crime, Comedy, Action & Adventure",42,13,5.19,2016,N/A,N/A,United States of America,Documentary/Other, Comedy,546,39.78373,-100.44588
Lady Ballers,1210646,/kN7M57SiaF57XJPHTVeXpkgj1Ez.jpg,/28B8msdMb8yMDTmubYDHONhBcdA.jpg,"A once-great basketball coach is on a journey back to victory by reuniting his former high school championship basketball team, but this time, he’s challenging them to play like girls.",https://www.youtube.com/watch?v=Py2MzGtmaJ0,movie,Comedy,110,1,5.79,2023,N/A,N/A,N/A,Comedy,N/A,110,51.56687,4.9285
Home Alone,65282,/1hqGagr94soBq70Lq7tPHvNmmxy.jpg,/9bFpP6TtYJC2kmDkwEXaPAjZZdc.jpg,"It can be a badge of honor to be “single.” “I Live Alone” is a documentary-style South Korean reality series that follows the members of a self-formed club called Rainbow, which is comprised of  celebrities who are single and live alone.",https://www.youtube.com/watch?v=HlhfxNkfROE,tv,Reality,90,542,7,2013,Kocowa,/hwsU65QW7A4dbMEWkDpgHyCNcfS.jpg,"Korea, Republic of",Documentary/Other,N/A,48780,38.22836,127.02521
Attack on Titan II: End of the World,340382,/khTl77Kvwb7emwcluvwKRA7MkSs.jpg,/bnuBhHLzsRapDWheh9kwNn6qZnp.jpg,"Eren Yeager leaves to restore a break in the wall destroyed by a Titan. He comes under attack by the Titans and is cornered. Shikishima comes to his aid. The titans never stops attacking.  Eren is now injured and tries to protect Armin, but is swallowed by a titan. A Titan with black hair appears and begins to expel the other titans.",https://www.youtube.com/watch?v=Ux4sQG1Lvco,movie,"Horror, Science Fiction, Action",87,1,6.06,2015,N/A,N/A,Japan,Horror, Science Fiction,87,36.57484,139.23942
Monsternado,1052158,/txA4srjcxa4HiWEaMyrNtWHbR5a.jpg,/vLvKc1x7bDXV5N7RnGCnZRBng3q.jpg,"When a tornado full of creatures bursts through the city, a group are held at a hotel trying to figure out a way to survive!",https://www.youtube.com/watch?v=NVf4I54_pNk,movie,"Horror, Science Fiction",81,1,5.6,2023,N/A,N/A,United Kingdom of Great Britain and Northern Ireland,Horror, Science Fiction,81,54.70235,-3.27658
Krapopolis,131033,/6DlLqv0jlv64ojXh6erRhBa5S4l.jpg,/93TMEARMcxJp4J7D4aRIwnA1u4n.jpg,"In mythical ancient Greece, a flawed family of humans, gods and monsters tries to run one of the world’s first cities without killing each other.",https://www.youtube.com/watch?v=zjAP_hNWy84,tv,"Animation, Comedy, Sci-Fi & Fantasy",22,23,7.11,2023,N/A,N/A,United States of America,Animation, Comedy,506,39.78373,-100.44588
How the Grinch Stole Christmas,8871,/14HBFGNQHSl6zsTrCbzDg8aRK0J.jpg,/sy0vo1cmpKqwPRiMUiJ45jyLsX7.jpg,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,https://www.youtube.com/watch?v=69zeQZd7KGs,movie,"Family, Comedy, Fantasy",104,1,6.76,2000,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Documentary/Other, Comedy,104,39.78373,-100.44588
The Doll Factory,214191,/vQAEVcAWRvcn2qyA1G9TkUNM95P.jpg,/yBZ72hkBbMILgS4BNLiUm9niRLC.jpg,Iris dreams of being an artist. Silas is a taxidermist who longs to be revered. Louis is a painter searching for his next muse. As their lives collide a love triangle appears to bloom. But this will morph into a story of dark obsession.,https://www.youtube.com/watch?v=3k0-7Lhvj1Y,tv,Drama,51,6,6.7,2023,Paramount Plus Apple TV Channel,/tJqmTmQ8jp9WfyaZfApHK8lSywA.jpg,United Kingdom of Great Britain and Northern Ireland,Drama,N/A,306,54.70235,-3.27658
The Tailor,214079,/a3SYikJGnXNZu3vjnHiRjiAxLyN.jpg,/5vaDrDaJij9JFF7cwrJvAMypxLY.jpg,A famous tailor begins to sew a wedding dress for his best friend’s fiancée – but all three have dark secrets that will soon upend their lives.,https://www.youtube.com/watch?v=0vcdfPrafN0,tv,"Drama, Mystery",28,23,7.23,2023,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,Republic of Türkiye,Drama, Mystery,644,38.95976,34.92497
3 Days in Malay,1152624,/r36anknVA1bO1MgLBbrlqvuo4xw.jpg,/9Y9wTgrMk4G1YNPDDekNk7dybwx.jpg,"Marines stationed at an airfield in Malay during WWII get wind of a coming raid by the Japanese. Unable to get reinforcements approved, they engage in a harrowing 3-day battle against enemy forces.",https://www.youtube.com/watch?v=VYZeyTP78iY,movie,"Action, Adventure, War",99,1,5.4,2023,N/A,N/A,United States of America,Action/Adventure, Adventure,99,39.78373,-100.44588
The 6th Day,8452,/nlbB47qp1oxEtts9Ik3UYAwKWHM.jpg,/2zY6nHPwU8mo4DzvL4c1qxXpQ3y.jpg,"A world of the very near future in which cattle, fish, and even the family pet can be cloned. But cloning humans is illegal - that is until family man Adam Gibson comes home from work one day to find a clone has replaced him. Taken from his family and plunged into a sinister world he doesn't understand, Gibson must not only save himself from the assassins who must destroy him to protect their secret, but uncover who and what is behind the horrible things happening to him.",https://www.youtube.com/watch?v=LABR3ikwfdc,movie,"Science Fiction, Action, Mystery, Drama",123,1,5.97,2000,N/A,N/A,United States of America,Science Fiction/Fantasy, Action,123,39.78373,-100.44588
What Men Want,487297,/30IiwvIRqPGjUV0bxJkZfnSiCL.jpg,/pmVBOsh8TBvvtFKIo6QS5dE6tTs.jpg,"Magically able to hear what men are thinking, a sports agent uses her newfound ability to turn the tables on her overbearing male colleagues.",https://www.youtube.com/watch?v=oIrQ7q0xdVc,movie,"Comedy, Romance",117,1,6.17,2019,N/A,N/A,N/A,Comedy, Romance,117,51.56687,4.9285
Messi Meets America,228096,/55ItlRecf50PKpRrSNUFwuGIehq.jpg,/frVHsujCY2PuyIqKIRY5vuJm2tA.jpg,"Join Lionel Messi as he embarks on his historic next chapter—taking North America and Major League Soccer by storm, and ushering in a new era of the game with his Inter Miami CF teammates.",https://www.youtube.com/watch?v=fqRm0TCDRw8,tv,Documentary,34,6,8.3,2023,Apple TV Plus,/2E03IAZsX4ZaUqM7tXlctEPMGWS.jpg,United States of America,Documentary/Other,N/A,204,39.78373,-100.44588
Justice League: Warworld,1003581,/pHdSS5G3wDwJp6jWgMpbSjNiTbr.jpg,/soRpXRJOYqBBsDYuH3mLYSIeufk.jpg,"Until now, the Justice League has been a loose association of superpowered individuals. But when they are swept away to Warworld, a place of unending brutal gladiatorial combat, Batman, Superman, Wonder Woman and the others must somehow unite to form an unbeatable resistance able to lead an entire planet to freedom.",https://www.youtube.com/watch?v=DwBdplsaF5A,movie,"Animation, Action, Science Fiction, Adventure",90,1,7.08,2023,N/A,N/A,United States of America,Animation, Action,90,39.78373,-100.44588
The Assassins,224882,/qhnkrV58m9lLUL0BWX4MtKRqpKH.jpg,/lxiVSSy62EgJaCqoL4zw13MokXX.jpg,"The events take place in a historical context, in the 11th century, where the leader of the Assassins, Hassan al-Sabah, and his leadership of the band that was famous for carrying out bloody assassinations of prominent figures at that stage.",https://www.youtube.com/watch?v=xZJIzONewvs,tv,"Drama, Action & Adventure",0,30,8,2024,N/A,N/A,Arab Republic of Egypt,Drama, Action & Adventure,0,26.25405,29.26755
Ne Zha,615453,/vhnxaQel1CwfcwLtCkTNpSdjte1.jpg,/eGK2JJO1ZeoabWThHmC9IjUTmfP.jpg,"The Primus extracts a Mixed Yuan Bead into a Spirit Seed and a Demon Pill. The Spirit Seed can be reincarnated as a human to help King Zhou establish a new dynasty, whereas the Demon Pill will create a devil threatening humanity. Ne Zha is the one who is destined to be the hero, but instead he becomes a devil incarnate, because the Spirit Seed and a Demon Pill are switched.",https://www.youtube.com/watch?v=kEou_FYdIpA,movie,"Animation, Fantasy, Adventure",110,1,7.93,2019,N/A,N/A,People's Republic of China,Animation, Fantasy,110,35.00007,104.99993
No Escape,222288,/AsIDKFpBeTjuZpKjHNki6JgV0s4.jpg,/cmzNw4BpBPdFNFlxH7Ns7RAYdgs.jpg,"Best friends Lana and Kitty are on the run from the UK police. They find sanctuary on a ship called The Blue, which promises a carefree life full of beautiful people, parties and endless beaches, but that paradise soon turns into a nightmare and the pair find themselves far from home and in mortal danger.",https://www.youtube.com/watch?v=Y1G66HyiTxM,tv,Drama,54,7,7.1,2023,N/A,N/A,United Kingdom of Great Britain and Northern Ireland,Drama,N/A,378,54.70235,-3.27658
Stomp the Yard,1931,/dald9tUbRmGQ91CUJnzaBAjjvUf.jpg,/6d9zm4ds01BA2EmX8GmzNlmIvyi.jpg,"After the death of his younger brother, a troubled 19-year-old street dancer from Los Angeles is able to bypass juvenile hall by enrolling in the historically black, Truth University in Atlanta, Georgia. But his efforts to get an education and woo the girl he likes are sidelined when he is courted by the top two campus fraternities, both of which want and need his fierce street-style dance moves to win the highly coveted national step show competition.",https://www.youtube.com/watch?v=eT0foeL5OPQ,movie,"Drama, Music",114,1,7,2007,N/A,N/A,United States of America,Drama, Music,114,39.78373,-100.44588
UFC 273: Volkanovski vs. The Korean Zombie,945607,/289C7uyXf5cYOpFoXZFgAcFPNwO.jpg,/pTz66nxmWR5gqWSdUrprrNNM1X0.jpg,"With wins over Max Holloway, Jose Aldo and Brian Ortega, UFC featherweight champion Alexander Volkanovski is carving out his legacy as one of the best ever. But to keep his belt and his place atop the division, he must hold off the charge of ""The Korean Zombie"" Chan Sung Jung in the main event of UFC 273 on April 9. Fresh from a big victory over Dan Ige, Jung is determined that his second crack at the crown will see him bring a world title to South Korea for the first time as attempts to use his dynamic style to defeat Australia's finest. Plus, a heated rivalry gets its second chapter in the co-main event, as Aljamain Sterling and Petr Yan meet for the undisputed bantamweight title.  UFC 273: Volkanovski vs The Korean Zombie - Saturday, April 9 live from VyStar Veterans Memorial Arena in Jacksonville, FL",https://www.youtube.com/watch?v=Rv8P4tqUQZY,movie,Action,218,1,0,2022,N/A,N/A,United States of America,Action/Adventure,N/A,218,39.78373,-100.44588
Fingernails,790459,/q04g3un61aeBoheQEso7enM28AF.jpg,/wsMuEaqX5Sks209lnjWEChCdv3C.jpg,Anna and Ryan have found true love together. It’s been proven by a controversial test. There’s just one problem: Anna still isn’t sure. Then she meets Amir.,https://www.youtube.com/watch?v=iDYhOz8AIk4,movie,"Romance, Science Fiction, Drama",113,1,5.96,2023,Apple TV Plus,/2E03IAZsX4ZaUqM7tXlctEPMGWS.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other, Science Fiction,113,54.70235,-3.27658
The New Edition Story,69760,/uFgTXYL16rRcrAuHS74zWIalhXf.jpg,/gncG5D2ivDQW0qU8a0NNabw5RHe.jpg,"Follow the story of R&amp;B pioneers Michael Bivins, Ricky Bell, Ronnie Devoe, Bobby Brown, Ralph Tresvant and Johnny Gill as they navigate fame from their native Boston to Hollywood and beyond.",https://www.youtube.com/watch?v=vbFpxCaaJks,tv,Drama,80,3,7.9,2017,N/A,N/A,United States of America,Drama,N/A,240,39.78373,-100.44588
Talk to Me,1008042,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,/46Os8U0DEPmI0OnvKDxucl6SLVZ.jpg,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",https://www.youtube.com/watch?v=kv9F-NJLhLU,movie,"Horror, Thriller",95,1,7.17,2023,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,Australia,Horror, Thriller,95,-24.77611,134.755
Smiling Friends,126506,/l1Qdw9DsJaomE8BXeVfkF6h1qaa.jpg,/msAljUxkBtPB9GoQgGXzf4GFR3M.jpg,"Smiling Friends Inc. is a small company whose main purpose is to bring happiness and make people smile. The series follows the day-to-day lives and misadventures of its representatives, the lazy, cynical Charlie, and the cheerful, optimistic Pim, as they try to cheer up and comfort the troubled people who call their company's hotline. They receive seemingly simple requests but the jobs turn out to be more complicated than they seem, making it difficult to bring happiness to the world.",https://www.youtube.com/watch?v=mQuaAHB2W9Q,tv,"Animation, Comedy",12,17,8.1,2020,Channel 4,/uMWCgjsGnO5IoQtqxXOjnQA5gt9.jpg,United States of America,Animation, Comedy,204,39.78373,-100.44588
Above the Rim,19092,/q7CCx8aj8uME1fBa4KzTMdeWxXu.jpg,/vEBGkO0D8Feh7jpwZGZ4UqEZZxQ.jpg,"Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.",https://www.youtube.com/watch?v=sEsCXWD7-Cc,movie,"Crime, Drama",96,1,6.9,1994,N/A,N/A,United States of America,Documentary/Other, Drama,96,39.78373,-100.44588
Trolls Band Together,901362,/bkpPTZUdq31UGDovmszsg2CchiI.jpg,/zMtBbNhROxPf0urHSBoZUnqJEwT.jpg,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",https://www.youtube.com/watch?v=uIgGUb5PQLo,movie,"Animation, Family, Music, Fantasy, Comedy",91,1,7.35,2023,N/A,N/A,United States of America,Animation, Family,91,39.78373,-100.44588
My Big Fat Greek Wedding,8346,/ztc05ym0T3stnBpRHdxEs3Zwsmp.jpg,/3d8Y4q172YFp2obUdfMjyErB7eU.jpg,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,https://www.youtube.com/watch?v=O2mecmDFE-Q,movie,"Comedy, Drama, Romance",95,1,6.5,2002,N/A,N/A,United States of America,Comedy, Drama,95,39.78373,-100.44588
The Minions of Midas,111761,/kj3dBq2B98HRH2qcMcUP27c9Uqb.jpg,/fG34740e9GKhIDqMTlFSswZ97ik.jpg,"Victor Genovés, an influential businessman, is blackmailed: if he doesn't agree to pay a large sum of money, the self-styled Midas favorites will kill a person at random at a designated place and time and add a new victim periodically until they achieve their goal. How many deaths will he be able to carry on his shoulders?",https://www.youtube.com/watch?v=CQdv8ZTUYOE,tv,"Mystery, Drama, Crime",50,6,6.8,2020,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,Kingdom of Spain,Documentary/Other, Drama,300,39.32607,-4.83798
The BFG,267935,/ny2mbM6krh6C63TiV8e33eF3Gcd.jpg,/tOTtJelsPKX0bvSdvDVL2ou3cGS.jpg,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",https://www.youtube.com/watch?v=y1fZg0hhBX8,movie,"Adventure, Family, Fantasy",117,1,6.27,2016,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United States of America,Action/Adventure, Family,117,39.78373,-100.44588
V for Vendetta,752,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,/sFEYsEfzTx7hhjetlNrme8B5OUo.jpg,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",https://www.youtube.com/watch?v=T0Z5Pkhi9bA,movie,"Action, Thriller, Science Fiction",132,1,7.9,2006,N/A,N/A,United States of America,Action/Adventure, Thriller,132,39.78373,-100.44588
Escape,26775,N/A,N/A,"Escape is an American anthology series that aired on the NBC network from February 11 to April 1, 1973. The show was a production of Jack Webb's Mark VII Limited for Universal Television. It aired on Sunday evenings at 10 p.m. Eastern, following the NBC Mystery Movie.",N/A,tv,"Drama, War & Politics",60,6,0,1980,N/A,N/A,United Kingdom of Great Britain and Northern Ireland,Drama, War & Politics,360,54.70235,-3.27658
Hurricane Season,32007,/axzk9UTvnV68brpqmmVNp4z2kj5.jpg,/ySdpEXCGAoKwHD5m3NjGeKyfVSI.jpg,"Based on true events amid the wreckage and chaos dealt by Hurricane Katrina; one basketball coach in Marrero, Louisiana just will not give up. Coach Al Collins, gathers other players from hard-hit schools and builds a team actually worthy enough to go to the state playoffs.",https://www.youtube.com/watch?v=drvTvl9o9zE,movie,Drama,103,1,6.8,2009,MGM Amazon Channel,/efu1Cqc63XrPBoreYnf2mn0Nizj.jpg,United States of America,Drama,N/A,103,39.78373,-100.44588
Victor Frankenstein,228066,/bYUmSLPtWylFKbEBHOXT1kt9l5b.jpg,/8kJNwEkHIg4NePpFbYFwR8NC4UM.jpg,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,https://www.youtube.com/watch?v=cvESrJ5GdHc,movie,"Drama, Science Fiction, Thriller",109,1,5.94,2015,N/A,N/A,United States of America,Drama, Science Fiction,109,39.78373,-100.44588
Leatherface,300665,/nV7LPlyhUxKn5y0nuItCr8D1OSu.jpg,/9poUAjlyDmjCHra1xDV9sZL1kEy.jpg,"A young nurse is kidnapped by a group of violent teens who escape from a mental hospital and take her on the road trip from hell. Pursued by an equally deranged lawman out for revenge, one of the teens is destined for tragedy and horrors that will destroy his mind, moulding him into a monster named Leatherface.",https://www.youtube.com/watch?v=wt8wybR4sfk,movie,"Horror, Thriller",88,1,5.61,2017,N/A,N/A,United States of America,Horror, Thriller,88,39.78373,-100.44588
Troy: Fall of a City,71181,/9Pw6Vu2HXra6ird7s4GHJFUyU88.jpg,/3zzAYFF57wqNbwDqtByMHi85HkH.jpg,"A rich story of love, intrigue, betrayal and belonging told from the perspective of the Trojan royal family at the heart of the siege of Troy.",https://www.youtube.com/watch?v=QTBOi1PAMmw,tv,"War & Politics, Drama, Action & Adventure",56,8,6.1,2018,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United Kingdom of Great Britain and Northern Ireland,Documentary/Other, Drama,448,54.70235,-3.27658
Project X,57214,/lUPDGT3lyRrq8SvWuNWG2DP64bR.jpg,/7bjSK3jQZf7lwEcwsux7Lso5eWi.jpg,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",https://www.youtube.com/watch?v=l5m4bPQLPZ8,movie,Comedy,88,1,6.87,2012,N/A,N/A,United States of America,Comedy,N/A,88,39.78373,-100.44588
The Boy in the Striped Pyjamas,14574,/sLwYSEVVV3r047cjrpRAbGgNsfL.jpg,/7fJAYM0rhzpEhCK6wxbQ412EoYW.jpg,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",https://www.youtube.com/watch?v=uwysOfnX2Qg,movie,"Drama, War, History",94,1,7.84,2008,Netflix,/pbpMk2JmcoNnQwx5JGpXngfoWtp.jpg,United Kingdom of Great Britain and Northern Ireland,Drama, War,94,54.70235,-3.27658
Confidential Informant,1070802,/p3MqxGqMdq4eqzWN6H7ugEdYv1W.jpg,/euO884625eFLfKLoc0MtFs5QiOS.jpg,"During a crack epidemic two narcotics agents hunting for a cop killer. Hoping for leads, Moran and Thorton pay off a junkie informant. To provide for his wife and son, Moran involves the stool pigeon in a deadly scheme. This causes the partners to come under the scrutiny of a suspicious internal affairs agent.",https://www.youtube.com/watch?v=5MeHC7moE2M,movie,"Thriller, Action, Mystery",88,1,5.92,2023,N/A,N/A,United States of America,Documentary/Other, Action,88,39.78373,-100.44588
Loki,84958,/oJdVHUYrjdS2IqiNztVIP4GPB1p.jpg,/q3jHCb4dMfYF6ojikKuHd6LscxC.jpg,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.",https://www.youtube.com/watch?v=R6o1UWEBVQA,tv,"Drama, Sci-Fi & Fantasy",59,12,8.18,2021,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Drama, Sci-Fi & Fantasy,708,39.78373,-100.44588
Primal,89456,/ebupzTwgP8nBy0T5J3abqTqUMjK.jpg,/nGfjgUlES2WuYrHXNNF4fbGe2Eq.jpg,A caveman forms a bond with a dinosaur as they struggle to survive in a hostile world.,https://www.youtube.com/watch?v=rN7pkGa8pKc,tv,"Action & Adventure, Animation, Drama",23,20,8.63,2019,Channel 4,/uMWCgjsGnO5IoQtqxXOjnQA5gt9.jpg,United States of America,Action/Adventure, Animation,460,39.78373,-100.44588
Central Station,666,/zJvp7XjQ2LhPbDVYhFXyucs40vR.jpg,/lrLIy9OFRQg4VkhrCyolfNXJEUH.jpg,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",https://www.youtube.com/watch?v=xQZvQblHsBs,movie,Drama,110,1,8.15,1998,N/A,N/A,French Republic,Drama,N/A,110,46.60335,1.88833
Christiane F.,9589,/pxjCfoKO48JJN7L3QieYGOwWDig.jpg,/tg33XbGTPvHLan2UaDtF4M95Rx4.jpg,"This movie portrays the drug scene in Berlin in the 70s, following tape recordings of Christiane F. 14 years old Christiane lives with her mother and little sister in a typical multi-storey apartment building in Berlin. She's fascinated by the 'Sound', a new disco with most modern equipment. Although she's legally too young, she asks a friend to take her. There she meets Detlef, who's in a clique where everybody's on drugs. Step by step she gets drawn deeper into the scene.",https://www.youtube.com/watch?v=4Tdb-JFoLuU,movie,Drama,131,1,7.33,1981,BFI Player,/nIm8xq1JYgHfusIcDnccEBQkoWp.jpg,N/A,Drama,N/A,131,51.56687,4.9285
Rise of the Footsoldier: Vengeance,1034065,/ejQVG3vDAT1V2oCEpH6Ujz8uE8q.jpg,/gbcfYmjFUMbH3vZiA4Bdv7HwRWi.jpg,"Pat Tate embarks on a rampage to avenge his loyal and trusted footsoldier's violent death, venturing beyond his comfort zone of Essex into the dark side of 90s Soho to track down the villain responsible. Set to execute his revenge, Tate will stop at nothing even as the world around him starts to explode.",https://www.youtube.com/watch?v=USTqrXoid30,movie,"Action, Drama, Thriller",112,1,5.65,2023,N/A,N/A,N/A,Action/Adventure, Drama,112,51.56687,4.9285
South Park: Joining the Panderverse,1190012,/18IsRVfs5MkkTcqTGlUAnka6sCh.jpg,/gIQ3AGPR6WAWzh70mulRDN8kd23.jpg,"Cartman's deeply disturbing dreams portend the end of the life he knows and loves. Meanwhile, the adults in South Park are wrestling with their own life decisions, as the advent of AI is turning their world upside down.",https://www.youtube.com/watch?v=7oi3tkW7z-k,movie,"Animation, Comedy, Science Fiction, TV Movie",49,1,7.86,2023,Paramount Plus,/h5DcR0J2EESLitnhR8xLG1QymTE.jpg,United States of America,Animation, Comedy,49,39.78373,-100.44588
The Inbetweeners 2,242022,/xP328XWLccsitiTTClWGTNlwz48.jpg,/8tq5OyaKjocIGbTNN1yKOKOx9dZ.jpg,"Neil, Will and Simon receive an invite from Jay to join him in Australia whilst on his gap year, who promises them it’s ”the sex capital of the world”. With their lives now rather dull compared to their hedonistic school days and legendary lads holiday, it’s an offer they can’t refuse. Once again, they put growing up temporarily on-hold, and embark on a backpacking holiday of a lifetime in an awful car, inspired by Peter Andre’s ‘Mysterious Girl’. Will soon finds himself battling with the lads to do something cultural, whilst they focus their attention on drinking, girls, and annoying fellow travelers.",https://www.youtube.com/watch?v=BTxrgdsSfXk,movie,Comedy,92,1,6.16,2014,N/A,N/A,United Kingdom of Great Britain and Northern Ireland,Comedy,N/A,92,54.70235,-3.27658
Love Actually,508,/1ODdWLpyOnIVl0l67GrdaFDlJGf.jpg,/xUWf5xX0AnZgAnYXAMk03zTbsef.jpg,Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.,https://www.youtube.com/watch?v=2hMffxJim1M,movie,"Comedy, Romance, Drama",135,1,7.12,2003,Sky Go,/1UrT2H9x6DuQ9ytNhsSCUFtTUwS.jpg,United Kingdom of Great Britain and Northern Ireland,Comedy, Romance,135,54.70235,-3.27658
The Kardashians,154521,/q1tKB9Wd88GIIfUYFgyh0PQXOCv.jpg,/AegHZQQ4jjdmpXhbuY36z00f0qA.jpg,"The family you know and love is here with a brand new series, giving an all-access pass into their lives. Kris, Kourtney, Kim, Khloé, Kendall, and Kylie bring the cameras back to reveal the truth behind the headlines. From the intense pressures of running billion-dollar businesses to the hilarious joys of playtime and school drop-offs, this series brings viewers into the fold with a rivetingly honest story of love & life in the spotlight.",https://www.youtube.com/watch?v=OLHMODbbkrI,tv,Reality,50,42,8.6,2022,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Documentary/Other,N/A,2100,39.78373,-100.44588
Indiana Jones and the Dial of Destiny,335977,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",https://www.youtube.com/watch?v=Q4P8FuQJIdM,movie,"Adventure, Action",155,1,6.6,2023,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Action/Adventure, Action,155,39.78373,-100.44588
Carandiru,8440,/dvL05T9KtkY6oPpMvrAmu18Nds3.jpg,/rhrBU761a5B4w7hhpA9og3fNBCH.jpg,"When a doctor decides to carry out an AIDS prevention program inside Latin America’s largest prison: the Casa de Detenção de São Paulo - Carandiru, he meets the future victims of one of the darkest days in Brazilian History when the State of São Paulo’s Military Police, with the excuse for law enforcement, shot to death 111 people. Based on real facts and on the book written by Dráuzio Varella.",N/A,movie,Drama,148,1,7.6,2003,N/A,N/A,Argentine Republic,Drama,N/A,148,-34.9965,-64.96728
The Inbetweeners Movie,69798,/nePYsVp0qU8EbSXeUdr3xEkHlzN.jpg,/ffAXhWIgVB9PRxzlDyrDKYckImx.jpg,"High school graduation just wouldn’t be complete without an un-chaperoned, uninhibited and unforgettable final holiday. At least that’s what Will, Jay, Simon and Neil think when they book a two-week stay on an exotic Greek island. As their dreams of sun-drenched days and booze-filled nights are left hopelessly unfulfilled, the lads fight their way into the party scene with hilariously humiliating results in this smash hit UK raunchy comedy.",https://www.youtube.com/watch?v=iQB60Cs5Zdg,movie,Comedy,97,1,6.18,2011,N/A,N/A,United Kingdom of Great Britain and Northern Ireland,Comedy,N/A,97,54.70235,-3.27658
How I Caught My Killer,217448,/JyxEEoMCUsKQq5dedTvLWTUp7N.jpg,/sG13fWs55PRvDIwZAYvozBPCCKs.jpg,"The real-life stories behind unique homicide cases with in-depth interviews, authentic archival material and cinematic recreations all packaged together into a fresh spin in the genre.",https://www.youtube.com/watch?v=up1RK599Lsg,tv,"Documentary, Crime",46,9,7.5,2023,Disney Plus,/97yvRBw1GzX7fXprcF80er19ot.jpg,United States of America,Documentary/Other, Crime,414,39.78373,-100.44588
